provincia,municipio,distrito_municipal,recinto_nombre,recinto_direccion,sector,colegios_lista
ESTADOS UNIDOS,OCLEE ORLANDO,UNIVERSIDAD ANA G. MENDEZ,"5601 SOUTH SEMORAN BLVD. SUITE 55, ORLANDO, FL 32822",1226,,
ESTADOS UNIDOS,OCLEE ORLANDO,UNIVERSIDAD ANA G. MENDEZ,"5601 SOUTH SEMORAN BLVD. SUITE 55, ORLANDO, FL 32822",1227,,
ESTADOS UNIDOS,OCLEE PHILADELPHIA,ALL SOLUTIONS,176 WIKLKES BARRE 18702 PENNSYLVANIA PA.,1253,,
ESTADOS UNIDOS,OCLEE PHILADELPHIA,ALL SOLUTIONS,176 WIKLKES BARRE 18702 PENNSYLVANIA PA.,1254,,
ESTADOS UNIDOS,OCLEE PHILADELPHIA,ALL SOLUTIONS,176 WIKLKES BARRE 18702 PENNSYLVANIA PA.,1255,,
ESTADOS UNIDOS,OCLEE PHILADELPHIA,ASOCIACIÓN DE PENNSYLVANIA,"1158 BUTTONWOOD STREET, READING, PA 19604",1256,,
ESTADOS UNIDOS,OCLEE PHILADELPHIA,ASOCIACIÓN DE PENNSYLVANIA,"1158 BUTTONWOOD STREET, READING, PA 19604",1257,,
ESTADOS UNIDOS,OCLEE PHILADELPHIA,ASOCIACIÓN DE PENNSYLVANIA,"1158 BUTTONWOOD STREET, READING, PA 19604",1258,,
ESTADOS UNIDOS,OCLEE PHILADELPHIA,ASOCIACIÓN DE PENNSYLVANIA,"1158 BUTTONWOOD STREET, READING, PA 19604",1259,,
ESTADOS UNIDOS,OCLEE PHILADELPHIA,CASTLE OF THE EVENTS,118 N. 9 TH ST. 18102 PENNSYLVANIA PA.,1260,,
ESTADOS UNIDOS,OCLEE PHILADELPHIA,CASTLE OF THE EVENTS,118 N. 9 TH ST. 18102 PENNSYLVANIA PA.,1261,,
ESTADOS UNIDOS,OCLEE PHILADELPHIA,CASTLE OF THE EVENTS,118 N. 9 TH ST. 18102 PENNSYLVANIA PA.,1262,,
ESTADOS UNIDOS,OCLEE PHILADELPHIA,CASTLE OF THE EVENTS,118 N. 9 TH ST. 18102 PENNSYLVANIA PA.,1263,,
